keyword,category,engine,title,mechanical_pass,kw_literal,judge_score,usable,cached
"data science","article","qwen","Uncovering Secrets: The Data Science Behind Predictive Analytics",1,1,92,1,0
"data science","article","egcg","Why Data science Is the New Investigation",1,1,42,0,0
"data science","article","curated","The Science of Loneliness: What Isolation Does to the Brain",1,1,30,0,1
"blockchain","article","cloud","Why Your Next Fortune Could Be Hiding in a Blockchain Transaction",1,1,85,1,0
"blockchain","article","qwen","Revolutionizing Finance: How Blockchain is Shaping the Future of Money",1,1,92,1,0
"blockchain","article","egcg","9 Ways Blockchain Will Transform Your Science",1,1,78,1,0
"blockchain","article","curated","Blockchain Beyond Crypto: Practical Applications for Business",1,1,85,1,1
"electric cars","youtube","cloud","Why Electric Cars Still Fail in Winter (And How to Fix It)",1,1,92,1,0
"electric cars","youtube","qwen","Revolutionizing Roads: Electric Cars of Tomorrow",1,1,92,1,0
"electric cars","youtube","egcg","9 Things Nobody Tells You About Electric cars",1,1,92,1,0
"electric cars","youtube","curated","The Truth About Electric Cars: Pros and Cons",1,1,75,1,1
"space exploration","article","cloud","The $1.2 Million Mistake That Sent a Rover to Mars",1,0,92,1,0
"space exploration","article","qwen","Unveiling the Mysteries of the Cosmos: Space Exploration's Infinite Quest",1,1,78,1,0
"space exploration","article","egcg","The Future of Space exploration: What's Coming in Overnight",1,1,45,0,0
"space exploration","article","curated","What Space Exploration Teaches Us About Life on Earth",1,1,85,1,1
"wine","blog","cloud","Why Sommeliers Fear This One Wine Region",1,1,92,1,0
"wine","blog","qwen","Vintage Flavors: A Journey Through Time with Wine",1,1,85,1,1
"wine","blog","egcg","The Productive Way to Guide Wine",1,1,15,0,0
"wine","blog","curated","Dandelion Wine",1,1,50,0,1
"dancing","youtube","cloud","Why Dancing Makes You Smarter (Science Says So)",1,1,92,1,0
"dancing","youtube","qwen","Step into the rhythm: Dancing through life's moments",1,1,75,1,1
"dancing","youtube","egcg","11 Dancing Learnings You Need to Know",1,1,25,0,0
"dancing","youtube","curated","Dancing Alone",1,1,75,1,1
"podcasting","blog","cloud","The $0.99 Mic That Made My Podcast Sound Like NPR",1,0,92,1,0
"podcasting","blog","qwen","Podcast Revolution: Discovering Hidden Gems in Your Favorite Shows",1,0,92,1,0
"podcasting","blog","egcg","The 48 hours Plan to Build Podcasting",1,1,15,0,0
"podcasting","blog","curated","",0,0,0,0,0
"freelancing","blog","cloud","The $47,000 Mistake I Made in My First Freelance Year",1,0,92,1,0
"freelancing","blog","qwen","Unlocking Freelancing Success: Tips for Independent Professionals",1,1,78,1,0
"freelancing","blog","egcg","Why Freelancing Is the New Way",1,1,72,1,0
"freelancing","blog","curated","",0,0,0,0,0
"vegan","blog","cloud","The 5-Minute Vegan Breakfast That Beats Your Coffee",1,1,87,1,0
"vegan","blog","qwen","Beyond Meat: Exploring the Future of Vegan Cuisine",1,1,85,1,1
"vegan","blog","egcg","The Definitive Guide to Vegan",1,1,42,0,0
"vegan","blog","curated","The Best Vegan Recipes for Busy Weeknights",1,1,85,1,1
"yoga","youtube","cloud","I Did Yoga Every Day for 30 Days — Here's What Changed",1,1,92,1,0
"yoga","youtube","qwen","Yoga Journey: From Beginner to Master",1,1,85,1,0
"yoga","youtube","egcg","The Rise Yoga One is Best",1,1,12,0,0
"yoga","youtube","curated","Yoga Pants and Pizza",1,1,30,0,1
"gaming","youtube","cloud","The 10-Minute Gaming Setup That Changed Everything",1,1,82,1,0
"gaming","youtube","qwen","Unleash Your Inner Gamer: The Ultimate Guide to Gaming Gear",1,1,78,1,0
"gaming","youtube","egcg","How Gaming Is the Truth Industry",1,1,12,0,0
"gaming","youtube","curated","Budget Gaming PC",1,1,75,1,1
"digital nomad","blog","cloud","The $2,847 Mistake That Nearly Ended My Digital Nomad Life",1,1,95,1,0
"digital nomad","blog","qwen","Nomad Nation: Thriving in the Digital Age",1,1,85,1,1
"digital nomad","blog","egcg","How to Dream Digital nomad and Guide That will change everything",1,1,15,0,0
"digital nomad","blog","curated","The Rise of 'Digital Nomad' Communities in Southeast Asia",1,1,85,1,1
"sourdough bread","blog","cloud","Why Your Sourdough Bread Is Flat (And How to Fix It in 3 Steps)",1,1,95,1,0
"sourdough bread","blog","qwen","From Yeast to Crust: A Journey into the Art of Sourdough Bread",1,1,85,1,1
"sourdough bread","blog","egcg","The Creative to Perfecting Sourdough bread Your",1,1,15,0,0
"sourdough bread","blog","curated","The Art of Making Sourdough Bread at Home",1,1,85,1,1
"intermittent fasting","book","cloud","The 16:8 Secret: How Intermittent Fasting Reshapes Your Metabolism",1,1,92,1,0
"intermittent fasting","book","qwen","Intermittent Fasting: The Ultimate Guide to Weight Loss and Health",1,1,78,1,0
"intermittent fasting","book","egcg","Intermittent fasting: A Novel About and",1,1,15,0,0
"intermittent fasting","book","curated","I Tried Intermittent Fasting for 3 Months — Results Were Surprising",1,1,85,1,1
"bitcoin","article","cloud","The $1.2 Million Bitcoin Typo That Changed Everything",1,1,92,1,0
"bitcoin","article","qwen","Unleashing the Future: Bitcoin Revolutionizes Finance",1,1,78,1,0
"bitcoin","article","egcg","The 2026 Plan to Shape Bitcoin",1,1,85,1,0
"bitcoin","article","curated","",0,0,0,0,0
"tennis","youtube","cloud","Why I Switched to a $200 Tennis Racket (and You Should Too)",1,1,92,1,0
"tennis","youtube","qwen","Mastering the Game: The Ultimate Guide to Tennis",1,1,92,1,0
"tennis","youtube","egcg","Why Planes Tennis YouTube Videos",1,1,15,0,0
"tennis","youtube","curated","",0,0,0,0,0
"skincare","blog","cloud","The 5 Skincare Rules Dermatologists Wish You'd Stop Breaking",1,1,95,1,0
"skincare","blog","qwen","Revolutionizing Skincare: Discover the Future of Beauty",1,1,78,1,0
"skincare","blog","egcg","A Beginner's Guide to Perfecting Skincare",1,1,92,1,0
"skincare","blog","curated","",0,0,0,0,0
"virtual reality","youtube","cloud","I Tried Virtual Reality for 30 Days — Here's What It Did to My Brain",1,1,92,1,0
"virtual reality","youtube","qwen","Unleash the Future: Exploring Virtual Reality",1,1,75,1,1
"virtual reality","youtube","egcg","Stop Building Virtual reality - Do This Instead",1,1,85,1,0
"virtual reality","youtube","curated","",0,0,0,0,0
"board games","product","cloud","The 5 Board Games That Ruined My Family Night (And Why We Keep Playing)",1,1,92,1,0
"board games","product","qwen","Unleash Strategy and Fun: The Ultimate Board Game Collection",1,1,85,1,0
"board games","product","egcg","How I Transform Board games and That will blow your mind",1,1,15,0,0
"board games","product","curated","",0,0,0,0,0
"tea","product","cloud","The 3,000-Year-Old Leaf That Runs Your Day",1,0,92,1,0
"tea","product","qwen","Tea Time: Discover the Blissful Brews That Transform Your Day",1,1,92,1,0
"tea","product","egcg","How I Reinvent Tea and That will transform your life",1,1,25,0,0
"tea","product","curated","Why I Switched From Coffee to Tea (And How It Changed My Afternoons)",1,1,85,1,1
"solo travel","blog","cloud","Why I Stopped Waiting for Someone to Travel With",1,1,92,1,0
"solo travel","blog","qwen","From Lonely to Lonely: Solo Travel's Journey to Self-Discovery",1,1,78,1,0
"solo travel","blog","egcg","10 Common Solo travel Mistakes and How to Fix Them",1,1,78,1,0
"solo travel","blog","curated","Solo Travel: Escaping Yourself or Finding Yourself?",1,1,85,1,1
"home office","product","cloud","Why Your Home Office Is Sabotaging Your Focus — and How to Fix It in 3 Steps",1,1,92,1,0
"home office","product","qwen","Transform Your Home Office into a Personal Oasis",1,1,85,1,0
"home office","product","egcg","Soft Return Home Office Tender Light",1,1,25,0,0
"home office","product","curated","5 Ways to Make Your Home Office Feel Like a Sanctuary",1,1,85,1,1
"jazz","song","cloud","The Blue Note That Changed My Life",1,0,78,1,0
"jazz","song","qwen","Notes of Midnight: Jazz Dreams",1,1,87,1,0
"jazz","song","egcg","The Fast Jazz Gold That That will blow your mind",1,1,15,0,0
"jazz","song","curated","",0,0,0,0,0
"ethical fashion","blog","cloud","Why Your $12 T-Shirt Costs the Planet $120",1,0,95,1,0
"ethical fashion","blog","qwen","Ethical Threads: Unveiling the True Cost of Fashion",1,1,85,1,1
"ethical fashion","blog","egcg","Why Ethical fashion Is More Rich Than You Think",1,1,45,0,0
"ethical fashion","blog","curated","The Hidden Cost of Fast Fashion",1,1,85,1,1
"climate change","article","cloud","The $1.2 Trillion Cost of Ignoring Climate Change",1,1,92,1,0
"climate change","article","qwen","Climate Change: The Silent Surge of Our Time",1,1,85,1,1
"climate change","article","egcg","7 Lessons About Climate change That That will blow your mind",1,1,15,0,0
"climate change","article","curated","What the Fossil Record Tells Us About Climate Change",1,1,85,1,1
