run,batch,title,exact_new,engine_new,exact_union,engine_union
2,1,"Indulge in Coffee: From Bean to Table, A Deconstructed Journey",1,1,42,42
2,1,"Roasting the Future: Exploring Sustainable Coffee Practices",1,1,43,43
2,1,"Where Does Coffee Come From: The Unusual Journey to Your Cup",1,1,44,44
2,1,"4 Reasons Why You Should Switch to Organic Coffee",1,1,45,45
2,1,"From Coffeeshop to Kitchen: My Coffee Evolution",1,1,46,46
2,1,"Beyond the Beans: Discovering the Riches of Rare Coffees",1,1,47,47
2,1,"Explore the Flavor of Coffee",1,1,48,48
2,1,"From Bean to Cup: Exploring the Magic of Coffee",1,1,49,49
2,1,"Roast Your Thoughts on the Dark Side of Coffee",1,1,50,50
2,2,"Roasting the Flavor: A Journey into the World of Coffee",1,0,51,50
2,2,"How Does Coffee Affect Your Mood and Focus?",1,1,52,51
2,2,"From Bean to Cup: The Journey of Coffee",1,0,53,51
2,2,"From a Coffee Run to the Gratitude Journal: My Coffee Journey",1,1,54,52
2,2,"Contrary to Popular Belief, Coffee Can Reduce Stress",1,1,55,53
2,2,"Unsolved Coffee Mysteries",1,1,56,54
2,2,"From Beans to Caffeine: The Journey of Coffee",1,0,57,54
2,2,"What Kind of Coffee Is Best For Your Mood?",1,1,58,55
2,2,"4 Simple Ways to Brew the Perfect Cup of Coffee",1,1,59,56
2,2,"Finding the Perfect Cup of Coffee: My Coffee Quest",1,1,60,57
2,2,"From Roast to Sip: Unique Coffee Origins",1,0,61,57
2,2,"An Amazing Journey: Coffee from Bean to Cup",1,1,62,58
2,2,"Exploring Rare Coffee Origins: From Africa to Arabia",1,1,63,59
2,2,"Is Coffee Turning Into a Luxury Good?",1,0,64,59
2,2,"40 Cups of Coffee: A Journey Through Coffee Cultures",1,1,65,60
2,2,"Spent Two Days Brewing Coffee: Insights from the Roaster",1,1,66,61
2,2,"The Art of Coffee Brewing",1,0,67,61
2,2,"Beyond the Espresso: The Rich History of Coffee",1,0,68,61
2,2,"Is Your Favorite Coffee Sustainable? Explore the Ethical Side",1,1,69,62
2,2,"I Spent 2 Weeks Brewing Coffee from Scraps",1,0,70,62
2,2,"Contrast Coffee’s Beans vs. Sustainable Roast",1,1,71,63
2,2,"Beyond Beans: Coffee's Journey",1,1,72,64
2,2,"Is Your Coffee Ethically Sourced?",1,1,73,65
2,2,"5 Coffees That Changed the Game",1,1,74,66
2,2,"The Surprising Truth About Coffee's Secret Ingredient",1,1,75,67
2,2,"Unveiling the Secrets of the World's Most Expensive Coffee Beans",1,0,76,67
2,2,"3 Coffee Myths Busted: Coffee Facts Revealed",1,1,77,68
2,2,"From Coffee Cozy to Coffee Catastrophe: My Journey to Discover the Perfect Cup",1,0,78,68
2,2,"Coffee's Dark Legacy: The Devil's Beverage?",1,1,79,69
2,2,"The Mystery of Coffee Beans",1,0,80,69
2,2,"Mastering the Art of Perfect Coffee: Tips and Techniques",1,1,81,70
2,2,"Is Your Daily Coffee Making You Sleepy?",1,1,82,71
2,2,"5 Coffee Habits for a Healthier You",1,0,83,71
2,2,"I Stepped into the Unknown: My Coffee Journey",1,1,84,72
2,2,"From Caffeine Addiction to Coffee Bliss",1,1,85,73
2,2,"Unconventional Coffee Explorations: From Brazil to Ethiopia",1,1,86,74
2,2,"Could Organic Coffee Be the Key to Better Health?",1,1,87,75
2,2,"The Power of One Cup: Exploring the Impact of Coffee",1,1,88,76
2,2,"Grinding Coffee Beans: A Journey from Bean to Brew",1,1,89,77
2,2,"Coffee and Climate Change",1,1,90,78
2,2,"Is Your Next Coffee Experience Worth It?",1,1,91,79
2,2,"The Dark Side of Coffee: Hidden Hazards You Never Knew",1,1,92,80
2,2,"The Science of Coffee",1,0,93,80
2,2,"Roasting Reality: The Journey of Coffee Beans",1,1,94,81
2,2,"Is This the Best Coffee in Town?",1,1,95,82
2,2,"1 Day Without Coffee: My Experiment",1,0,96,82
2,2,"Finding Happiness in a Simple Cup of Coffee: My Journey",1,1,97,83
2,2,"The Coffee Journey: From Bean to Cup",1,1,98,84
2,2,"Is Organic Coffee Really Worth the Price?",1,1,99,85
2,2,"In Pursuit of the Perfect Cup: Exploring Coffee's Mysteries",1,1,100,86
2,3,"Exploring the Origins of Specialty Coffee: A Journey Through Cultures",1,0,101,86
2,3,"Should You Upgrade to Organic Coffee? The Debate",1,1,102,87
2,3,"4 Simple Ways to Brew an Amazing Cup of Coffee",1,0,103,87
2,3,"From Bean to Cup: My 5-Day Coffee Expedition",1,0,104,87
2,3,"Grinding Truth: Why Less Coffee Affects More",1,1,105,88
2,3,"Explore the Magic of Coffee",1,0,106,88
2,3,"Behind the Brew: Coffee Cuts and Their Unique Stories",1,1,107,89
2,3,"What Does Coffee Say About Our Modern World?",1,1,108,90
2,3,"From Farmer to Cup: My Journey with Sustainable Coffee",1,1,109,91
2,3,"Underpowered Coffee: Why Mild Brews Rule",1,1,110,92
2,3,"Uncovering the Flavor Behind Every Cup: Coffee in the Wild",1,0,111,92
2,3,"Is Coffee Making You Happy or Depressed?",1,0,112,92
2,3,"5 Essential Tips for Brewing Coffee at Home",1,1,113,93
2,3,"From Cup to Cup: My Coffee Journey",1,0,114,93
2,3,"From Caffeine to Chocolate: Uncovering the Sweet Surrender of Coffee",1,0,115,93
2,3,"The Art of Coffee Roasting",1,0,116,93
2,3,"From Beans to Cup: Discovering the World's Best Coffee",1,0,117,93
2,3,"What's Driving Coffee's Price Rise?",1,1,118,94
2,3,"2 Secrets to Perfectly Balancing Your Coffee习惯",1,1,119,95
2,3,"The Science Behind Coffee Flavor",1,0,120,95
2,3,"Is the World's Most Expensive Coffee Worth Your Money?",1,1,121,96
2,3,"5 Fun Facts About Coffee You Probably Never Knew",1,1,122,97
2,3,"From Coffee Bean to Coffee Cup: My Journey",1,0,123,97
2,3,"From Dark Roast to Sunrise: Revealing the Mystery of Coffee",1,1,124,98
2,3,"What is the Future of Coffee in Our World?",1,1,125,99
2,3,"4 Coffee Breeds Explained: From Arabica to Robusta",1,1,126,100
2,3,"From Barista to Bean: My Coffee Journey",1,0,127,100
2,3,"Brewing Better Coffee: The Science Behind It",1,1,128,101
2,3,"Revitalizing Coffee: A Journey",1,1,129,102
2,3,"Is Your Coffee Making You Sleepy?",1,1,130,103
2,3,"Is Your Morning Coffee Sustainable?",1,1,131,104
2,3,"Roast Your Thoughts on Coffee",1,0,132,104
2,3,"Roasted: The Riches of Coffee Around the World",1,1,133,105
2,3,"Is Micro Farms Saving Coffee's Future?",1,1,134,106
2,3,"10 Cups of Coffee: Origins to Caffeine",1,1,135,107
2,3,"Embracing the Daily Ritual: My Coffee Journey",1,1,136,108
2,3,"Is the Flavor of Your Coffee Influenced by Climate Change?",1,1,137,109
2,3,"From Roast to Grind: Contrasting Classic vs. Modern Coffee",1,0,138,109
2,3,"The Artistic Flavor of Coffee",1,1,139,110
2,3,"Crafting the Perfect Cup: Secrets of World-Class Coffee",1,0,140,110
2,3,"Is Your Coffee Drinkin' Up Too Much Energy?",1,1,141,111
2,3,"Beyond the Brew: Exploring Coffee Cultures",1,0,142,111
2,3,"4 Coffees You Never Knew Existed",1,0,143,111
2,3,"Is Your Coffee Sustainable?",1,1,144,112
2,3,"What Makes Coffee So Alluring?",1,1,145,113
2,3,"I Squeezed My Way to Perfect Coffee': A Personal Brewing Journey",1,1,146,114
2,3,"Is Your Coffee the World's Most Expensive?",1,1,147,115
2,3,"Discover the Rich History of Coffee Beans",1,0,148,115
2,3,"Why Is Coffee So Special?",1,1,149,116
2,3,"An Unexpected Adventure at the World’s Most Popular Coffee Shop",1,0,150,116
2,4,"Grinding Coffee Beans for the Perfect Shot",1,0,151,116
2,4,"Is Coffee Making You Crazy? CoffeeConundrum",1,0,152,116
2,4,"The Surprising Health Benefits of Coffee",1,0,153,116
2,4,"From Bean to Brew: My Journey Exploring Coffee",1,0,154,116
2,4,"Uncovering the Rich History of Coffee in 5 Minutes",1,0,155,116
2,4,"3 Coffees That Changed the Game",1,1,156,117
2,4,"Roast Your Thoughts: Exploring the Flavor of Coffee",1,0,157,117
2,4,"Is This the Perfect Cup of Coffee?",1,1,158,118
2,4,"2 Ways to Brew the Perfect Cup of Coffee",1,1,159,119
2,4,"Spice Up Your Morning: Exploring the World of Coffee",1,1,160,120
2,4,"Did You Know Coffee Can Kill You?",1,1,161,121
2,4,"Beyond the Bean: Coffee Unveiled",1,0,162,121
2,4,"Exploring the Origins of Coffee: From Beans to Brew",1,0,163,121
2,4,"4 Simple Ways to Improve Your Coffee Taste",1,0,164,121
2,4,"Is Organic Coffee a Taste of Nature?",1,0,165,121
2,4,"The Art of Sifting: Exploring Coffee Origins",1,0,166,121
2,4,"Is the Quality of Coffee Declining?",1,1,167,122
2,4,"4 Coffee Brews That Changed the Game",1,0,168,122
2,4,"The Unexpected Flavors of Uncommon Coffee Beans",1,1,169,123
2,4,"Coffee Brewing Explained",1,1,170,124
2,4,"Breaking Down the Science of Coffee Flavors",1,1,171,125
2,4,"The Unlikely Journey of My Morning Cup: Coffee Exploration",1,1,172,126
2,4,"Is Your Daily Cup of Coffee Killing Your Health?",1,1,173,127
2,4,"The Power of Coffee",1,0,174,127
2,4,"From Dark Roast to Rich: Exploring the Vanilla Notes of Coffee",1,0,175,127
2,4,"From Beans to Cup: A Journey Through Coffee Cultures",1,0,176,127
2,4,"The Journey to My Perfect Cup: Coffee's Surprising Impact",1,1,177,128
2,4,"Discover the Dark Side of Coffee's Bright Future",1,0,178,128
2,4,"Roaster's Guide to Better Coffee",1,1,179,129
2,4,"The Science Behind Great Coffee Grind",1,0,180,129
2,4,"Number 9 Best Coffee Blends of 2023",1,1,181,130
2,4,"From Coffee Bean to Caffeinated Brew: My Journey",1,0,182,130
2,4,"Is It Better to Drink Coffee in the Dark?",1,1,183,131
2,4,"Coffee: Origins and Culture",1,1,184,132
2,4,"Spent a Day Brewing Coffee: Reflections on Ritual and Routine",1,1,185,133
2,4,"The Revolutionary Blend: Coffee That Doesn't Cost a Dime",1,1,186,134
2,4,"Under the Influence: Coffee",1,1,187,135
2,4,"Mastering the Art of Coffee Grind: Tips for a Perfect Cup",1,0,188,135
2,4,"What Does Your Coffee Taste Like?",1,0,189,135
2,4,"5 Simple Tips to Make Your Coffee Experience Memorable",1,1,190,136
2,4,"I Spent a Day Brewing Coffee from Scratch",1,0,191,136
2,4,"The Perfect Cup: Exploring the Science Behind Your Favorite Coffee",1,1,192,137
2,4,"The Rise and Fall of Coffee",1,1,193,138
2,4,"How Did Coffee Impact Your Day? 🌞☕",1,1,194,139
2,4,"10 Surprising Benefits of Brewing Coffee",1,1,195,140
2,4,"From Espresso to Energy Boost: A Journey Through Coffee Varieties",1,1,196,141
2,4,"Crafting Perfect Coffee: Tips and Varieties",1,1,197,142
2,4,"A Journey to the World's Most Exotic Coffee Beans",1,1,198,143
2,4,"Is Your Morning Coffee Affecting Your Mood?",1,1,199,144
2,4,"4 Coffees that Changed the Game",1,0,200,144
