keyword,category,attempt,accepted_index,outcome,title
"coffee","youtube",83,61,accepted,"Rich Coffee from Desert: Coffee in Extreme Climates"
"coffee","youtube",84,62,accepted,"Perfect Cup: The Coffee Revolution"
"coffee","youtube",85,62,duplicate,"Beyond the Bean: A Journey Through Coffee Cultures"
"coffee","youtube",86,63,accepted,"What is the Impact of Climate Change on Coffee Production?"
"coffee","youtube",87,64,accepted,"Breaking Down the Science Behind Perfect Coffee Extraction"
"coffee","youtube",88,64,duplicate,"The Art of Brewing: My Journey to Perfect Coffee Every Time"
"coffee","youtube",89,65,accepted,"Saving Coffee: The Surprising Impact of Climate Change"
"coffee","youtube",90,65,duplicate,"Uncovering the Best Coffee Finds"
"coffee","youtube",91,66,accepted,"Exploring Global Coffee Varieties: From Ethiopia to Costa Rica"
"coffee","youtube",92,67,accepted,"Is Coffee's Perfect Blend Genetic?"
"coffee","youtube",93,68,accepted,"4 Reasons Why Coffee Is Good For You"
"coffee","youtube",94,68,duplicate,"4 Coffee Cups and a Night Under the Stars"
"coffee","youtube",95,68,duplicate,"Discover the Surprising Benefits of Unsweetened Coffee"
"coffee","youtube",96,69,accepted,"Indulge in the Magic of Coffee"
"coffee","youtube",97,69,duplicate,"Exploring the Flavor Profiles of Rare Coffee Varieties"
"coffee","youtube",98,69,duplicate,"What's Behind the Coffee Revolution?"
"coffee","youtube",99,69,duplicate,"4 Coffee Varieties Explained"
"coffee","youtube",100,70,accepted,"From Barista to Bean: My Journey with Coffee"
"coffee","youtube",101,71,accepted,"Hellish Experience: Savoring the Dirtiest Coffee"
"coffee","youtube",102,72,accepted,"The Coffee Revolution"
"coffee","youtube",103,73,accepted,"Beyond Vanilla: The Curious Journey of Coffee"
"coffee","youtube",104,74,accepted,"Is Your Coffee Making You Feel Depressed?"
"coffee","youtube",105,75,accepted,"My 7-Day Coffee Experiment: Coffee vs. No Coffee"
"coffee","youtube",106,76,accepted,"Spiced Up: The Coffee Journey That Changed My Life"
"coffee","youtube",107,77,accepted,"The Surprising Health Benefits of Black Coffee"
"coffee","youtube",108,78,accepted,"Mastering Coffee: The Basics"
"coffee","youtube",109,78,duplicate,"Beyond the Beans: Exploring New Coffee Cultures"
"coffee","youtube",110,79,accepted,"What Is the Future of Coffee?"
"coffee","youtube",111,80,accepted,"5 Best Coffee Makers Under $50"
"coffee","youtube",112,80,duplicate,"From Bean to Cup: My Journey into Coffee"
"coffee","youtube",113,81,accepted,"From Coffee Bean to Cup: The Journey from Farm to Your Table"
"coffee","youtube",114,81,duplicate,"From Bean to Cup: Coffee's Journey"
"coffee","youtube",115,81,duplicate,"The Art of Brewing: Mastering Coffee Flavors"
"coffee","youtube",116,82,accepted,"What's Driving Coffee Prices? Insights from the Market"
"coffee","youtube",117,83,accepted,"10 Tips for Brewing the Perfect Cup of Coffee"
"coffee","youtube",118,83,duplicate,"From Barista to Bean: My Journey with Coffee"
"coffee","youtube",119,84,accepted,"Under Pressure: Brewing Coffee Without Water"
"coffee","youtube",120,85,accepted,"The Magical Journey of Coffee"
"coffee","youtube",121,85,duplicate,"Exploring the Origins of Coffee: A Journey Through Cultures"
"coffee","youtube",122,86,accepted,"Is Your Coffee Addiction Causing Sleepless Nights?"
"coffee","youtube",123,86,duplicate,"The Science Behind the Roast: Exploring Coffee Enzymes"
"coffee","youtube",124,86,duplicate,"From Barista to Bean: My Journey Brewing Coffee"
"coffee","youtube",125,87,accepted,"Expensive Coffee: The Secret to Breaking Even"
"coffee","youtube",126,87,duplicate,"From Beans to Cup: Coffee Journey"
"coffee","youtube",127,88,accepted,"Crafting the Perfect Cup: A Journey Through Coffee Landscapes"
"coffee","youtube",128,89,accepted,"Is Microdosing Coffee the Future of Mindfulness?"
"coffee","youtube",129,89,qc_fail,""
"coffee","youtube",130,90,accepted,"I Sipped My Way Through a Day of Coffee Bliss"
"coffee","youtube",131,90,duplicate,"The Dark Side of Coffee: Beneath the Sweet Scent"
"coffee","youtube",132,90,duplicate,"The Art of Coffee Roast"
"coffee","youtube",133,91,accepted,"Revolutionary Coffee Brewing Techniques Unveiled"
"coffee","youtube",134,91,duplicate,"Is Coffee Making You Stress? Discover its Unexpected Benefits"
"coffee","youtube",135,92,accepted,"10 Surprising Benefits of Coffee"
"coffee","youtube",136,92,duplicate,"From Bean to Cup: My Journey with Coffee"
"coffee","youtube",137,93,accepted,"Is Organic Coffee Really Better Than Regular?"
"coffee","youtube",138,93,duplicate,"The Science of Coffee"
"coffee","youtube",139,93,duplicate,"Uncovering the Coffee Origin: From Beans to Brew"
"coffee","youtube",140,94,accepted,"What's the Impact of Climate Change on Coffee Beans?"
"coffee","youtube",141,94,duplicate,"5 Best Coffee Breasts in the City"
"coffee","youtube",142,94,duplicate,"From Bean to Cup: My Coffee Journey"
"coffee","youtube",143,94,duplicate,"From Bean to Cup: Uncovering the True Flavor of Coffee"
"coffee","youtube",144,94,duplicate,"Explore the Science of Coffee"
"coffee","youtube",145,94,duplicate,"From Bean to Cup: The True Story Behind Your Coffee"
"coffee","youtube",146,94,duplicate,"Is Organic Coffee Really the Healthier Choice?"
"coffee","youtube",147,94,duplicate,"5 Brewing Methods for Diverse Coffee Preferences"
"coffee","youtube",148,95,accepted,"An Unexpected Day with Coffee: Uncovering My Morning Ritual's Mystery"
"coffee","youtube",149,95,duplicate,"Uncovering the Untold Truths of Coffee's Riches"
"coffee","youtube",150,96,accepted,"Crafting Perfect Coffee: Tips & Tricks"
"coffee","youtube",151,96,duplicate,"Is Coffee the Key to a Happier Brain?"
"coffee","youtube",152,97,accepted,"Is Sipping on This Coffee Making Me Tired?"
"coffee","youtube",153,98,accepted,"I Spent 2 Weeks Roasting Coffee Beans"
"coffee","youtube",154,98,duplicate,"From Bean to Cup: My Coffee Journey"
"coffee","youtube",155,98,duplicate,"Is Organic Coffee Truly Healthier?"
"coffee","youtube",156,98,duplicate,"The Science of Coffee: Explained"
"coffee","youtube",157,99,accepted,"Is Your Coffee Affecting Your Mood?"
"coffee","youtube",158,99,duplicate,"What's Behind the Taste of Your Favorite Coffee?"
"coffee","youtube",159,99,duplicate,"The Science Behind Your Morning Cup of Coffee"
"coffee","youtube",160,100,accepted,"I Roast My Coffee Like a Pro"
"coffee","youtube",161,101,accepted,"Deconstructing the Myth: Why Dark Roast Coffee Isn't Always Better"
"coffee","youtube",162,101,duplicate,"The Science Behind Coffee"
"coffee","youtube",163,101,duplicate,"The Art of Coffee Roasting: From Bean to Cup"
"coffee","youtube",164,102,accepted,"What Special Coffee Tells Us About Our World"
"coffee","youtube",165,102,duplicate,"The Art of Brewing Perfect Coffee"
"coffee","youtube",166,102,duplicate,"4 Simple Steps to Brew Perfect Coffee Every Time"
"coffee","youtube",167,102,duplicate,"The Surprising Benefits of Black Coffee"
"coffee","youtube",168,102,duplicate,"The Art of Brewing Better Coffee"
"coffee","youtube",169,102,duplicate,"From Bean to Cup: A Journey Through Coffee Cultures"
"coffee","youtube",170,103,accepted,"Is Your Coffee Shop Killing the Planet?"
"coffee","youtube",171,104,accepted,"2 Cups of Creativity with Coffee"
"coffee","youtube",172,104,duplicate,"From Bean to Sip: My Journey Exploring Coffee"
"coffee","youtube",173,104,duplicate,"Extracting the Perfect Brew: Coffee with No Sugar"
"coffee","youtube",174,104,duplicate,"Beyond the Bean: Coffee Chronicles"
"coffee","youtube",175,104,duplicate,"The Art of Brewing: Exploring Coffee Techniques"
"coffee","youtube",176,104,duplicate,"Is Coffee Good for You According to Science?"
"coffee","youtube",177,104,duplicate,"24 Hours Grounded: The Art of Coffee Roasting"
"coffee","youtube",178,105,accepted,"Morning Ritual: My Coffee Journey"
"coffee","youtube",179,105,duplicate,"Indulge in Unconventional Coffee Flavors"
"coffee","youtube",180,106,accepted,"Beautify Coffee"
"coffee","youtube",181,107,accepted,"Roasting Myths: The Truth Behind Coffee Varieties"
"coffee","youtube",182,108,accepted,"Is Your Favorite Coffee Drinker Destroying the Planet?"
"coffee","youtube",183,108,duplicate,"I Roast My Way to a Better Coffee: Episode 101"
"coffee","youtube",184,108,duplicate,"From Bean to Cup: My Coffee Journey"
"coffee","youtube",185,109,accepted,"Dark Roast Secrets: Deeper Flavor in Dark Roast Coffee"
"coffee","youtube",186,110,accepted,"Decoding Your Cup: Coffee Basics"
"coffee","youtube",187,110,duplicate,"From Beans to Caffeine: Exploring the Journey of Coffee"
"coffee","youtube",188,111,accepted,"Is Your Favorite Coffee Shop Hidden from Reality?"
"coffee","youtube",189,111,duplicate,"4 Simple Steps to Brew the Perfect Cup of Coffee"
"coffee","youtube",190,111,duplicate,"From Bean to Cup: My Coffee Journey"
"coffee","youtube",191,112,accepted,"50 Shades Darker: Under-the-Cloth Coffee Exploration"
"coffee","youtube",192,112,duplicate,"The Science of Coffee Flavor"
"coffee","youtube",193,112,duplicate,"From Bean to Cup: Unseen Flavors of Coffee"
"coffee","youtube",194,112,duplicate,"Is Coffee Making You Feel Alert or Addicted?"
"coffee","youtube",195,112,duplicate,"The Science Behind Perfect Coffee Brew"
"coffee","youtube",196,112,duplicate,"From Espresso to Caffeine: My Coffee Journey"
"coffee","youtube",197,113,accepted,"From Roasted Beans to Cup of Coffee: A Journey Through the Blend"
"coffee","youtube",198,113,duplicate,"The Dark Side of Coffee"
"coffee","youtube",199,113,duplicate,"The Art of Coffee Roasting: Mastering the Flavor"
"coffee","youtube",200,113,duplicate,"Is Coffee Draining Your Wallet Too?"
"coffee","youtube",201,114,accepted,"6 Steps to Brew the Perfect Cup of Coffee"
"coffee","youtube",202,114,duplicate,"Everyday Coffee Obsession: My Journey to Brew the Perfect Cup"
"coffee","youtube",203,115,accepted,"Is Your Favorite Coffee Actually Poisonous?"
"coffee","youtube",204,115,duplicate,"Is Coffee Good for You?"
"coffee","youtube",205,116,accepted,"Grinding Thoughts: Exploring the Flavor of Coffee"
"coffee","youtube",206,117,accepted,"Where Does Coffee Come From? The Amazing Coffee Origin Journey"
"coffee","youtube",207,117,duplicate,"4 Simple Tips to Brew the Perfect Cup of Coffee"
"coffee","youtube",208,118,accepted,"Journey to the Coolest Coffee Shop: A Local's Tale"
"coffee","youtube",209,118,duplicate,"The Art of Flavor: Exploring Rare Coffee Origins"
"coffee","youtube",210,119,accepted,"Decoding Coffee: A Simple Guide"
"coffee","youtube",211,119,duplicate,"From Beans to Beverage: The Journey of Coffee"
"coffee","youtube",212,120,accepted,"How Does Coffee Impact Your Cognitive Function?"
"coffee","youtube",213,121,accepted,"5 Reasons Why Coffee is the Best Habit"
"coffee","youtube",214,121,duplicate,"From Bean to Cup: My Journey with the World's Best Coffee"
"coffee","youtube",215,122,accepted,"Indulging in a Day Without Coffee: The Blissful Awakening"
"coffee","youtube",216,122,duplicate,"The Art of Coffee Tasting"
"coffee","youtube",217,123,accepted,"Roasting Success: The Art of Brewing Coffee"
"coffee","youtube",218,124,accepted,"Is Your Favorite Coffee Bean Sustainable?"
"coffee","youtube",219,124,duplicate,"5 Reasons to Switch to Organic Coffee"
"coffee","youtube",220,125,accepted,"Your Very Own Coffee Paradise: Unveiling My Top Pick"
"coffee","youtube",221,126,accepted,"Coffee's Dark Side: Behind the Scenes"
"coffee","youtube",222,127,accepted,"The Truth Behind Coffee"
"coffee","youtube",223,127,duplicate,"Beyond the Beans: Exploring the Riches of Coffee"
"coffee","youtube",224,128,accepted,"What's Your Favorite Coffee Flavor?"
"coffee","youtube",225,129,accepted,"5 Essential Tips for Brewing the Perfect Cup of Coffee"
"coffee","youtube",226,129,duplicate,"From Bean to Cup: My Journey with Coffee"
"coffee","youtube",227,130,accepted,"I Knew Coffee Could Steal Secrets"
"coffee","youtube",228,131,accepted,"Grinding Coffee Beans"
"coffee","youtube",229,131,duplicate,"Beyond the Cup: Exploring the Layers of Coffee"
"coffee","youtube",230,131,duplicate,"Is Coffee Making You Tired? Discover Hidden Benefits!"
"coffee","youtube",231,131,duplicate,"4 Coffees to Try Before You Die"
"coffee","youtube",232,132,accepted,"From Cup to Cup: My Journey with Coffee"
"coffee","youtube",233,133,accepted,"From Caffeine Surge to Sustainable Brew: Coffee's Surprising Journey"
"coffee","youtube",234,133,duplicate,"Grinding Coffee Beans: A Beginner's Guide"
"coffee","youtube",235,134,accepted,"Roasting Life: The Coffee Journey"
"coffee","youtube",236,135,accepted,"Is Your Morning Coffee Really Worth It?"
"coffee","youtube",237,135,duplicate,"The Science Behind the Perfect Cup: Exploring Coffee's Impact"
"coffee","youtube",238,135,duplicate,"From Coffee Bean to Cup: My Journey to Perfect Coffee Flavors"
"coffee","youtube",239,136,accepted,"Is Fresh Roasted Coffee Better Than Instant?"
"coffee","youtube",240,136,duplicate,"Exploring the Flavors of Coffee"
"coffee","youtube",241,137,accepted,"Scratching Coffee's Itchy Nails: Uncovering the Truth Behind Your Favorite Blend"
"coffee","youtube",242,138,accepted,"What Is the Impact of Coffee on Global Health?"
"coffee","youtube",243,138,duplicate,"5 Simple Tips to Brew Better Coffee"
"coffee","youtube",244,139,accepted,"I Brewing Coffee: Uncovering My Morning Ritual"
"coffee","youtube",245,139,duplicate,"Uncovering the Mystery of Coffee's Enigmatic Origins"
"coffee","youtube",246,139,duplicate,"The Science Behind Coffee Addiction"
"coffee","youtube",247,139,duplicate,"From Bean to Cup: The Journey of Coffee"
"coffee","youtube",248,140,accepted,"Is Your Coffee Shop Eco-Friendly?"
"coffee","youtube",249,140,duplicate,"The Art and Science of Perfectly Brewed Coffee"
"coffee","youtube",250,140,duplicate,"Spice Up Your Morning with Ethiopian Coffee."
"coffee","youtube",251,141,accepted,"Contrary to Popular Belief, Coffee Actually Improves Focus"
"coffee","youtube",252,142,accepted,"Exploring Coffee Around the World"
"coffee","youtube",253,142,duplicate,"Uncovering the Riches of Rare Coffee Varieties"
"coffee","youtube",254,143,accepted,"Why Is Your Coffee So Expensive?"
"coffee","youtube",255,144,accepted,"5 Tips on Brewing the Perfect Cup of Coffee"
"coffee","youtube",256,145,accepted,"I Decided to Steal a Cup from a Coffee Thief"
"coffee","youtube",257,145,duplicate,"From Bean to Cup: Exploring the Mystery Behind Coffee's Flavors"
"coffee","youtube",258,145,duplicate,"From Bean to Cup: Coffee Unveiled"
"coffee","youtube",259,146,accepted,"Unforgettable Coffee Experiences: From Ethiopia to Starbucks"
"coffee","youtube",260,146,duplicate,"Is Coffee Really Worth All the Stress It Adds?"
"coffee","youtube",261,146,duplicate,"4 Simple Tips to Brew Better Coffee"
"coffee","youtube",262,146,duplicate,"I Sipped My Way through the World's Best Coffee Beans"
"coffee","youtube",263,147,accepted,"Beyond Starbucks: Discover Unique Coffee Cultures"
"coffee","youtube",264,147,duplicate,"The Science Behind Coffee"
"coffee","youtube",265,147,duplicate,"Roasting the Future: Exploring the Tastebuds of Coffee"
"coffee","youtube",266,147,duplicate,"Is Coffee the Key to Stress Relief?"
"coffee","youtube",267,148,accepted,"10 Cups of Coffee: Origins and Brewing Techniques"
"coffee","youtube",268,148,duplicate,"From Roaster to Espresso: My Journey with Coffee"
"coffee","youtube",269,149,accepted,"Saving Money on Coffee: Discover Budget-Busting Grinds"
"coffee","youtube",270,149,duplicate,"Beyond the Beans: Coffee's Mystery"
"coffee","youtube",271,149,duplicate,"Decoding the World's Most Sought Coffee Beans"
"coffee","youtube",272,149,duplicate,"Is Coffee Killing the Planet? Dive Deeper"
"coffee","youtube",273,150,accepted,"21 Simple Steps to Brew the Perfect Cup of Coffee"
"coffee","youtube",274,151,accepted,"From Roast to Sip: My Day in the Coffee Mill"
"coffee","youtube",275,152,accepted,"From Bitter Sorrow to Bliss: Overcoming Coffee Addiction"
"coffee","youtube",276,152,duplicate,"The Art of Coffee Roasting"
"coffee","youtube",277,153,accepted,"Harvesting Coffee: From Bean to Cup"
"coffee","youtube",278,153,duplicate,"Discover the Curiosity Behind the World's Most Expensive Coffee Beans"
"coffee","youtube",279,154,accepted,"Delve into the Rich History of Coffee"
"coffee","youtube",280,154,duplicate,"From Bean to Cup: My Journey Making Coffee"
"coffee","youtube",281,154,duplicate,"Is Coffee Really What You Think It Is?"
"coffee","youtube",282,154,duplicate,"The Science Behind Coffee Addiction"
"coffee","youtube",283,155,accepted,"A Gratitude Journey: Discovering My Coffee Paradise"
"coffee","youtube",284,156,accepted,"Is Your Coffee A Day Making You Tired?"
"coffee","youtube",285,156,duplicate,"4 Simple Tips for a Better Morning Coffee"
"coffee","youtube",286,157,accepted,"Day in the Life of a Coffee Lover: From Beans to Cup"
"coffee","youtube",287,158,accepted,"Contrast: Traditional Coffee vs Sustainable Blend"
"coffee","youtube",288,158,duplicate,"Mastering Coffee: 5 Tips to Brew the Perfect Cup"
"coffee","youtube",289,158,duplicate,"Roasting Myths: Uncovering the Truth Behind Coffee"
"coffee","youtube",290,158,duplicate,"Is Coffee as Healthy as We Think?"
"coffee","youtube",291,159,accepted,"5 cups of magic: How coffee transforms our daily grind"
"coffee","youtube",292,160,accepted,"The Day I Found My Coffee Sweet Spot"
"coffee","youtube",293,161,accepted,"Morning Boost or Energy Drain: Is Your Coffee Making You Caffeine Depleted?"
"coffee","youtube",294,162,accepted,"Grind Your Own Coffee"
"coffee","youtube",295,162,duplicate,"Crafting Perfect Grind: Unveiling Coffee Secrets"
"coffee","youtube",296,162,duplicate,"How Does Coffee Affect Your Daily Productivity?"
"coffee","youtube",297,162,duplicate,"4 Simple Tips to Brew Perfect Coffee Every Time"
"coffee","youtube",298,163,accepted,"Spilling the Beans: My Coffee-Driven Day"
"coffee","youtube",299,164,accepted,"Craft Coffee vs. Factory Brew: Which Tastes Better?"
"coffee","youtube",300,164,duplicate,"Is Coffee Good for You?"
"coffee","youtube",301,165,accepted,"Behind the Scenes of the World's Most Diverse Coffee Regions"
"coffee","youtube",302,166,accepted,"What Does Your Favorite Coffee Say About You?"
"coffee","youtube",303,166,duplicate,"The Art of Brewing Perfect Coffee"
"coffee","youtube",304,166,duplicate,"I Sipped My Way Through the Best Coffee Shops"
"coffee","youtube",305,166,duplicate,"From Beans to Bustle: Uncovering the Real Cost of Coffee"
"coffee","youtube",306,167,accepted,"Iced Coffee or Espresso: Which Is Better?"
"coffee","youtube",307,168,accepted,"Roasting Dreams: Discover the Riches of Coffee"
"coffee","youtube",308,169,accepted,"Is Your Favorite Coffee Sustainable?"
"coffee","youtube",309,169,duplicate,"4 Simple Steps to Perfectly Brewed Coffee"
"coffee","youtube",310,169,duplicate,"From Barista to Bean Detective: My Journey into Coffee"
"coffee","youtube",311,169,duplicate,"Saving Coffee: From Crisis to Revival"
"coffee","youtube",312,169,duplicate,"From Bean to Cup: Coffee Journey"
"coffee","youtube",313,170,accepted,"Roasting Passion: The Joy of Coffee Beans"
"coffee","youtube",314,171,accepted,"How Much Does Coffee Influence Your Morning Mood?"
"coffee","youtube",315,171,duplicate,"4 Simple Steps to Brew Better Coffee"
"coffee","youtube",316,171,duplicate,"From Bean to Cup: My Journey with Coffee"
"coffee","youtube",317,172,accepted,"Unsung Heroes: The Forgotten Coffee Tasters"
"coffee","youtube",318,172,duplicate,"The Art of Brewing Coffee"
"coffee","youtube",319,172,duplicate,"From Bean to Cup: Exploring the Journey of Coffee"
"coffee","youtube",320,173,accepted,"What is the Best Drinking Temperature for Your Favorite Coffee?"
"coffee","youtube",321,173,duplicate,"5 Simple Tips to Upgrade Your Coffee Game"
"coffee","youtube",322,173,duplicate,"From Bean to Sip: My Coffee Exploration"
"coffee","youtube",323,173,duplicate,"The Surprising Health Benefits of Unsweetened Coffee"
"coffee","youtube",324,173,duplicate,"The Art of Brewing Coffee"
"coffee","youtube",325,173,duplicate,"Uncovering the Origins of Perfectly Brewed Coffee"
"coffee","youtube",326,173,duplicate,"Is Coffee Making You Headache?"
"coffee","youtube",327,174,accepted,"Infographic: Coffee Cultures Around the World"
"coffee","youtube",328,174,duplicate,"4 Coffee Cups to a Dollar: My Journey and Discovery"
"coffee","youtube",329,175,accepted,"From Ground to Cup: How Your Daily Brew Affects a Coffee Region"
"coffee","youtube",330,176,accepted,"Crafting Masterpieces: Coffee Explained"
"coffee","youtube",331,176,duplicate,"Is Coffee the New Solution to Climate Crisis?"
"coffee","youtube",332,177,accepted,"Is Your Favorite Coffee Shop Sustainable?"
"coffee","youtube",333,177,duplicate,"4 Simple Tips to Brew the Perfect Cup of Coffee"
"coffee","youtube",334,177,duplicate,"From Roaster to Brew: My Personal Journey with Coffee"
"coffee","youtube",335,177,duplicate,"Morning Boost or Climate Crisis? Coffee's Dark Side"
"coffee","youtube",336,177,duplicate,"The Science of Coffee Flavor"
"coffee","youtube",337,177,duplicate,"From Beans to Brew: Exploring the Art of Coffee"
"coffee","youtube",338,177,duplicate,"Is Coffee the Perfect Bliss or a Coffee-Warmer?"
"coffee","youtube",339,178,accepted,"4 Cups of Inspiration: Coffee's Journey from Field to Table"
"coffee","youtube",340,178,duplicate,"Roasting My First Cup of Coffee"
"coffee","youtube",341,179,accepted,"Is Your Favorite Coffee Really as Good as You Think?"
"coffee","youtube",342,179,duplicate,"The Art of Coffee Roasting"
"coffee","youtube",343,179,duplicate,"Breaking Down the Sweet Science of Coffee"
