run,batch,title,exact_new,engine_new,exact_union,engine_union
1,1,"Is Your Coffee Making You Slower?",1,1,38,38
1,1,"Dr. Blend's Coffee Revolution",1,1,39,39
1,1,"Crafting Your Perfect Brew: Coffee Brewing Techniques",1,1,40,40
1,1,"What's Your Cup of Coffee Really Telling You?",1,1,41,41
1,1,"Infographic: The Impact of Coffee Consumption on Mental Health",1,1,42,42
1,1,"Spinning Coffee Beans: A Day in the Life of a Coffee Roaster",1,1,43,43
1,1,"Sipping Secrets: Your Everyday Coffee Is Surprisingly Expensive",1,1,44,44
1,1,"Uncovering the Riches of Rare Coffee Varieties",1,1,45,45
1,1,"Is Your Favorite Coffee Drinker Friendly?",1,1,46,46
1,1,"4 Coffee Kinds Explained",1,1,47,47
1,1,"From Barista to Boss: My Journey in Coffee",1,1,48,48
1,1,"Decoding Coffee: From Bean to Cup",1,1,49,49
1,1,"Roaster’s Journey: From Bean to Cup, My Coffee Adventure",1,1,50,50
1,2,"The Art of Coffee Grind: Mastering the Perfect Brew",1,1,51,51
1,2,"Is Your Favorite Coffee Shop Influenced by Climate Change?",1,1,52,52
1,2,"18 Cups: The Science Behind Coffee's Effects",1,1,53,53
1,2,"48 Hours Under the Influence: The Coffee Detox Journey",1,1,54,54
1,2,"Why Your Daily Coffee Is Killing You",1,1,55,55
1,2,"The Perfect Cup: The Science of Coffee",1,1,56,56
1,2,"What's Your Favorite Coffee Blend?",1,0,57,56
1,2,"7 Cups of Coffee: Insights into the Brew",1,1,58,57
1,2,"From Roasting Beans to Your Cup of Joe: My Coffee Journey",1,1,59,58
1,2,"Is Organic Coffee Really Better? A Contrasting Analysis",1,1,60,59
1,2,"Explore Coffee's Mysteries",1,1,61,60
1,2,"From Bean to Cup: The Journey of Coffee",1,0,62,60
1,2,"Is Your Daily Cup of Coffee Sustainable?",1,1,63,61
1,2,"I Smelt the Flavor of Obsession: Exploring the Unique Flavor Profile of Fine Coffee",1,1,64,62
1,2,"120 Years of Coffee: A Journey",1,1,65,63
1,2,"What's Behind the Unique Flavors of Specialty Coffee?",1,0,66,63
1,2,"Revolutionary Coffee Extraction Methods: Shattering Industry Myths",1,0,67,63
1,2,"Grinding Coffee: Tips for Freshness",1,1,68,64
1,2,"Roasting My Day: The Journey of a Cup of Coffee",1,1,69,65
1,2,"Analyze the Impact of Coffee Prices on Global Farmers",1,1,70,66
1,2,"Spent a Weekend Brewing: The Joy of Homemade Coffee",1,1,71,67
1,2,"Exploring the Flavor of Coffee",1,1,72,68
1,2,"Behind the Scenes: How Coffee Affects Your Mind",1,1,73,69
1,2,"Is Climate Change Brewing New Coffee Trends?",1,1,74,70
1,2,"4 Simple Steps to Brew the Perfect Cup of Coffee",1,0,75,70
1,2,"Uncover the Truth Behind Your Favorite Coffee",1,1,76,71
1,2,"Delve into the Origins of Coffee: From Bean to Cup",1,1,77,72
1,2,"I Spent 2 Weeks Roasting Coffee Beans",1,1,78,73
1,2,"Finding the Best Coffee Spot: A Personal Coffee Adventure",1,1,79,74
1,2,"The Science of Coffee",0,0,79,74
1,2,"Journey to the Perfect Cup: Exploring Coffee Cultures",1,1,80,75
1,2,"Is Coffee Making You Jittery? Discover Its Hidden Hazards",1,0,81,75
1,2,"From Dreaming to Brewing: My Coffee Journey",1,1,82,76
1,2,"From Beans to Brew: A Coffee Journey Through Time",1,0,83,76
1,2,"Roasting the Future: Coffee's Impact on the Planet",1,1,84,77
1,2,"Is Your Daily Coffee Killing You?",1,1,85,78
1,2,"5 Amazing Coffee Origin Stories",1,1,86,79
1,2,"Morning Ritual: My Journey to Perfectly Flavored Coffee",1,1,87,80
1,2,"Coffee Culture: A Brief History",1,1,88,81
1,2,"I Brought My Coffee to Work: The Miracle Cup",1,0,89,81
1,2,"4 Hours in the Coffee Capital: Uncovering the Local Brews",1,1,90,82
1,2,"Coffee Cultivation's Unseen Impact: From Soil to Sip",1,1,91,83
1,2,"5 Best Coffee Breasts of the World",1,1,92,84
1,2,"From Coffee Co-op to Cup: My Journey at the Roastery",1,0,93,84
1,2,"Beyond Beans: Exploring the Dark Side of Coffee",1,1,94,85
1,2,"5 Simple Sips for Coffee Enthusiasts",1,1,95,86
1,2,"An Unexpected Journey: My Day in the Coffee Shop of Dreams",1,1,96,87
1,2,"From Dark Roast to Milky Way: The Contrast of Coffee Flavors",1,1,97,88
1,2,"Discover the Power of Coffee",1,0,98,88
1,2,"The Surprising Benefits of Choosing Organic Coffee",1,1,99,89
1,3,"Roast Out: Exploring the Mysteries of Coffee",1,1,100,90
1,3,"Is Coffee Really as Good as They Say?",1,0,101,90
1,3,"5 Coffee Myths Debunked: Your Guide to the Real Deal",1,1,102,91
1,3,"4 Coffee Cups That Changed My Day",1,0,103,91
1,3,"Roast Your Thoughts: The Dark Side of Coffee Beans",1,1,104,92
1,3,"The Science of Coffee Flavor",1,0,105,92
1,3,"Beyond the Bean: Unexplored Sights of Coffee",1,0,106,92
1,3,"From Coffee Bean to Coffee Cup: My Journey",1,0,107,92
1,3,"Coconut Water vs. Coffee: Which Tastes Yousier?",1,1,108,93
1,3,"Rich, Robust Coffee: Discover Its Secrets",1,1,109,94
1,3,"From Bean to Cup: The Journey of Our Favorite Coffee",1,0,110,94
1,3,"Why Should You Start Your Day with Coffee?",1,1,111,95
1,3,"My Journey to Understanding Coffee",1,1,112,96
1,3,"My First Cup of Coffee, Revisited",1,1,113,97
1,3,"Uncovering the Mysteries Behind the World's Most Expensive Coffee Beans",1,0,114,97
1,3,"Your Guide to the Best Coffee Flavors",1,1,115,98
1,3,"Mastering the Art of Coffee Extraction",1,1,116,99
1,3,"What's the Secret to Perfect Coffee Brewing?",1,1,117,100
1,3,"Is Bottled Water Better Than Your Morning Coffee?",1,1,118,101
1,3,"Explore the Origins of Your Morning Cup: Coffee Around the World",1,0,119,101
1,3,"Is This the Best Coffee You've Ever Tried?",1,1,120,102
1,3,"4 Simple Steps to Perfectly Brewed Coffee",1,0,121,102
1,3,"Embracing the Riches of Ethiopian Coffee: A Roaster's Culinary Adventure",1,1,122,103
1,3,"Is Your Coffee Lacking in the Right Bean?",1,1,123,104
1,3,"Uncover Coffee's Mysteries",1,1,124,105
1,3,"The Art of Coffee: From Bean to Cup",1,0,125,105
1,3,"Were You Born in a Coffee Farm? The Birth of a Roast",1,1,126,106
1,3,"Morning Ritual: My Journey to Perfect Coffee",1,0,127,106
1,3,"The Dark Side of Coffee's Bright Morning Brew",1,0,128,106
1,3,"Crafting the Perfect Cup: Exploring Coffee Cultures Around the World",1,0,129,106
1,3,"Is Your Morning Coffee Really Worth It?",1,1,130,107
1,3,"5 Brewing Secrets to the Perfect Cup of Coffee",1,1,131,108
1,3,"From Caffeine Addiction to Coffee Zen",1,1,132,109
1,3,"Grinding Truth About Coffee",1,1,133,110
1,3,"Is Your Coffee Making You Tense or Relaxed?",1,1,134,111
1,3,"From Robusta to Espresso: The Journey of Coffee",1,1,135,112
1,3,"Mastering Coffee: A Guide",1,0,136,112
1,3,"Is Your Daily Coffee Addictive?",1,1,137,113
1,3,"10 Cups: Exploring the Art of Coffee Preparation",1,1,138,114
1,3,"Bean to Cup: Coffee Essentials",1,1,139,115
1,3,"Roasting the Flavor of Your Coffee: A Guide",1,0,140,115
1,3,"Is Your Morning Coffee Driving You Crazy?",1,1,141,116
1,3,"4 Cups of Coffee: Exploring the World's Best Beans",1,0,142,116
1,3,"4 Coffee-Making Techniques That Became My Favorite",1,1,143,117
1,3,"Grinding the Truth on Coffee",1,0,144,117
1,3,"Is High-End Coffee Worth the Price?",1,1,145,118
1,3,"48 Hours in the Heartbeat of Coffee: A Deconstructive Day",1,0,146,118
1,3,"Is Your Favorite Coffee the Hardest-Working Employee?",1,1,147,119
1,3,"Roast and Brew: Coffee Basics",1,1,148,120
1,3,"Exploring the Origin of Dark Chocolate and Coffee",1,0,149,120
1,4,"From Beans to Cup: Exploring the Rich History of Coffee",1,0,150,120
1,4,"What is Your Favorite Coffee Containing?",1,1,151,121
1,4,"4 Coffee Struggles Solved",1,0,152,121
1,4,"I Spent the Morning Brewing a New Coffee Habit",1,0,153,121
1,4,"From Bean to Cup: Exploring the Dark Side of Coffee",1,0,154,121
1,4,"Roasting Dreams: Coffee Stories",1,1,155,122
1,4,"Bean to Cup: The Definitive Guide to Coffee Cultures",1,0,156,122
1,4,"Is the Coffee Shop Near You Poisoning You?",1,1,157,123
1,4,"4 Simple Ways to Make Your Coffee Brew Better",1,0,158,123
1,4,"From Barista to Bean: My Coffee Journey",1,0,159,123
1,4,"Drinking Less Coffee: How I Squeezed More Energy",1,1,160,124
1,4,"Beyond the Beans: Coffee Uncovered",1,0,161,124
1,4,"The Art of Brewing with Rare Coffee Beans",1,0,162,124
1,4,"What is the Impact of Coffee on Your Brain? Explored!",1,1,163,125
1,4,"The Perfect Cup: Exploring Coffee",1,0,164,125
1,4,"Roasting the Secrets Behind World's Best Coffee",1,0,165,125
1,4,"Is Coffee Killing Us or Making Us Happy?",1,0,166,125
1,4,"6 Simple Tips to Brew the Perfect Cup of Coffee",1,0,167,125
1,4,"Morning Ritual: My Coffee Journey",1,0,168,125
1,4,"How does Roasting Influence Coffee Flavor?",1,1,169,126
1,4,"From Brewing to Bliss: My Journey with Coffee",1,1,170,127
1,4,"Why Your Morning Coffee Is Killing You",1,1,171,128
1,4,"Explore the Riches of Coffee",1,0,172,128
1,4,"Is Your Favorite Coffee Drink Cultivating Ethical Practices?",1,1,173,129
1,4,"9 Coffee Myths Busted",1,1,174,130
1,4,"Is Your Coffee Real?",1,1,175,131
1,4,"The Science Behind Your Daily Coffee Boost",1,0,176,131
1,4,"Is Dark Roast Coffee Really Better?",1,1,177,132
1,4,"From Null Grind to Zen Espresso: Elevating Your Coffee Journey",1,1,178,133
1,4,"Is Single-Origin Coffee Overhyped?",1,1,179,134
1,4,"7 Simple Tips to Brew the Perfect Cup of Coffee",1,1,180,135
1,4,"The Surprising Impact of Coffee on Global Warming",1,0,181,135
1,4,"Is the Rarest Coffee in the World Worth Its Price?",1,1,182,136
1,4,"From Coffee Shop to Kitchen: My Journey with Morning Brew",1,0,183,136
1,4,"Exposing Coffee Myths",1,1,184,137
1,4,"Is This the Best Coffee You've Ever Tasted?",1,1,185,138
1,4,"The Power of One Cup: The Impact of Your Daily Coffee Habit",1,0,186,138
1,4,"Is the Dark Chocolate in Your Coffee Making You Sick?",1,1,187,139
1,4,"Number 4: 'The Coffee Journey: From Bean to Brew",1,1,188,140
1,4,"From Drip to Espresso: My Journey with Coffee",1,1,189,141
1,4,"Is Your Coffee the Real Deal?",1,1,190,142
1,4,"Unsolved Coffee Mystery",1,1,191,143
1,4,"Ethiopian Coffee Varieties: From Bean to Cup",1,1,192,144
1,4,"Is Your Coffee Shop Eco-Friendly?",1,1,193,145
1,4,"From Harsh Brews to Dreamy Grinds: A Journey Through Coffee's Wild Side",1,1,194,146
1,4,"Is Your Favorite Coffee Shop Eco-Friendly?",1,1,195,147
1,4,"10 Essential Tips to Brew the Perfect Cup of Coffee",1,1,196,148
1,4,"Contrast: The Dark Side of Dark Roast Coffee",1,1,197,149
1,4,"Delve into the Origins of Your Favorite Coffee Beans",1,0,198,149
1,4,"Breaking Down the Science Behind Perfect Coffee Grind",1,1,199,150
