keyword,category,attempt,accepted_index,outcome,title
"remote work","blog",8,6,accepted,"What's Next for Remote Work? Trends and Predictions"
"remote work","blog",9,7,accepted,"2 Steps to Successfully Navigate Remote Work Success"
"remote work","blog",10,8,accepted,"From Wired to Wireless: My Journey to Remote Work"
"remote work","blog",11,8,duplicate,"Remote Work: The Future of Flexibility, or the Overrated Convenience?"
"remote work","blog",12,9,accepted,"The Benefits of Remote Work"
"remote work","blog",13,9,duplicate,"Remote Work: A Revolution Unveiled"
"remote work","blog",14,10,accepted,"Is Remote Work the Future We’re Dying For?"
"remote work","blog",15,10,duplicate,"The Benefits of Remote Work: Maximizing Productivity from Anywhere"
"remote work","blog",16,11,accepted,"Caught Off Guard: Remote Work's Unexpected Arrival"
"remote work","blog",17,11,duplicate,"Remote Work: The New Normal or Just a Rhetoric?"
"remote work","blog",18,11,duplicate,"Remote Work: Pros, Cons, Future"
"remote work","blog",19,11,duplicate,"Exploring the Future of Remote Work: Advantages and Considerations"
"remote work","blog",20,11,duplicate,"Is Remote Work Here to Stay? A Closer Look"
"remote work","blog",21,11,duplicate,"Remote Work: A Pathway to Work-Life Balance and Innovation"
"remote work","blog",22,12,accepted,"From Commuting to Clicking: My Journey into Remote Work"
"remote work","blog",23,12,duplicate,"Remote Work: The Future Proof Strategy"
"remote work","blog",24,13,accepted,"Adapting to Remote Work: Tips for Success"
"remote work","blog",25,13,duplicate,"Exploring the Benefits and Challenges of Remote Work"
"remote work","blog",26,14,accepted,"Why Does Remote Work Work for Some and Not for Others?"
"remote work","blog",27,15,accepted,"Remote Revolution: Benefits, Challenges, and Future Trends"
"remote work","blog",28,16,accepted,"From Office to Remote: My Journey as a Digital Nomad"
"remote work","blog",29,16,duplicate,"Remote Work: The Solution to All Our Pandemic Problems"
"remote work","blog",30,17,accepted,"Flexibility or Freedom? The Pros and Cons of Remote Work"
"remote work","blog",31,17,duplicate,"Remote Work: A Path to Flexibility or Detachment?"
"remote work","blog",32,17,duplicate,"Thriving in the Remote Work Revolution: Tips for Success"
"remote work","blog",33,17,duplicate,"Thriving in the Digital Age: The Benefits of Remote Work"
"remote work","blog",34,17,duplicate,"From Office to Remote: My Journey and Experience"
"remote work","blog",35,17,duplicate,"Remote Work: The New Normal, or the Next Big Thing?"
"remote work","blog",36,17,duplicate,"Remote Work: Pros & Cons"
"remote work","blog",37,18,accepted,"Embracing Remote Work: Benefits and Best Practices"
"remote work","blog",38,18,duplicate,"Are You Ready for the Future of Remote Work?"
"remote work","blog",39,19,accepted,"45 Reasons Why Remote Work is Bliss"
"remote work","blog",40,19,duplicate,"From Desk to Remote: My Journey Through Hybrid Work"
"sourdough bread","article",1,1,accepted,"Crafting Flaky Sourdough: Expert Tips for Perfect Breads"
"sourdough bread","article",2,2,accepted,"Is Sourdough Bread Truly Better Than Commercial Loaves?"
"sourdough bread","article",3,3,accepted,"Rediscovering Tradition in Sourdough Bread"
"sourdough bread","article",4,4,accepted,"The Rise of Homemade Sourdough: A Homebrewer's Journey"
"sourdough bread","article",5,5,accepted,"Revitalize Your Baking Game: Why Sourdough Beats Commercial Yeast"
"sourdough bread","article",6,6,accepted,"Crafting Flavorful Sourdough"
"sourdough bread","article",7,7,accepted,"Crafting the Perfect Sourdough: A Guide to Homemade Bread"
"sourdough bread","article",8,8,accepted,"Is Your Sourdough Bread Rising? Tips for a Perfectly Fermented Loaf"
"sourdough bread","article",9,8,duplicate,"The Rise of Craft Sourdough Bread"
"sourdough bread","article",10,9,accepted,"From Yeast to Crust: My Journey Making Sourdough Bread"
"sourdough bread","article",11,10,accepted,"The Quick, Painful Way to Make Perfect Sourdough"
"sourdough bread","article",12,11,accepted,"Easy Homemade Sourdough Bread"
"sourdough bread","article",13,11,duplicate,"Crafting the Perfect Sourdough: A Guide to Homebrewing Yeast"
"sourdough bread","article",14,12,accepted,"What Makes Traditional Sourdough Unique?"
"sourdough bread","article",15,13,accepted,"How to Craft the Perfect Sourdough Bread"
"sourdough bread","article",16,14,accepted,"The Art of Crafting Perfect Sourdough: A Baker's Journey"
"sourdough bread","article",17,15,accepted,"Rediscovering the Ancient Art of Sourdough Bread"
"sourdough bread","article",18,16,accepted,"Crafting Perfect Sourdough"
"sourdough bread","article",19,17,accepted,"From Teff to Rye: Exploring the Flavors of Sourdough Bread"
"sourdough bread","article",20,17,duplicate,"What Makes Homemade Sourdough Bread Unique"
"sourdough bread","article",21,18,accepted,"Mastering the Art of Homemade Sourdough"
"sourdough bread","article",22,18,duplicate,"The Art of Transforming a Kitchen Counter into a Sourdough Wonderland"
"sourdough bread","article",23,19,accepted,"Rediscover the Art of Baking: Sourdough's Unique Flavor"
"sourdough bread","article",24,19,duplicate,"Crafting Perfect Sourdough"
"sourdough bread","article",25,19,duplicate,"Crafting Flaky Sourdough: Tips and Techniques for Perfect Biscuits"
"sourdough bread","article",26,20,accepted,"Is Starter Culture Your Secret to Perfect Sourdough?"
"sourdough bread","article",27,21,accepted,"The History and Art of Crafting Sourdough Bread"
"sourdough bread","article",28,21,duplicate,"Crafting Perfect Sourdough: My Journey into Yeast Magic"
"sourdough bread","article",29,22,accepted,"Mastering Sourdough: From Nurturing Yeast to Winning Every Bake"
"sourdough bread","article",30,22,duplicate,"Mastering Sourdough Bread"
"sourdough bread","article",31,22,duplicate,"Crafting the Perfect Sourdough Bread: Techniques for Yeast-Lovers"
"sourdough bread","article",32,23,accepted,"Are You Making Sourdough Bread the Easy Way?"
"sourdough bread","article",33,24,accepted,"Crafting Classic Sourdough: The Artisanal Guide"
"sourdough bread","article",34,25,accepted,"Bob's Slice of History: Crafting the Perfect Sourdough Bread"
"sourdough bread","article",35,25,duplicate,"From Yeast to Heart: Transforming Sourdough's Artisanal Charm"
"sourdough bread","article",36,26,accepted,"Crafting Sourdough's Delicate Flavors"
"sourdough bread","article",37,26,duplicate,"Crafting Perfect Sourdough: A Beginner's Guide to Homemade Bread"
"sourdough bread","article",38,27,accepted,"Why Sourdough Delights in Everyday Bread Crafting"
"sourdough bread","article",39,28,accepted,"Bread Loaf: A Guide to Raising Sourdough"
"sourdough bread","article",40,28,duplicate,"Crafting Perfect Sourdough Bread: A Yeast-People's Journey"
"coffee","product",1,1,accepted,"Jazzy Brew"
"coffee","product",2,2,accepted,"JoltX"
"coffee","product",3,3,accepted,"Dr. Brew"
"coffee","product",4,4,accepted,"Caffeine Bliss"
"coffee","product",5,5,accepted,"Focus Brew"
"coffee","product",6,6,accepted,"LatteCraft"
"coffee","product",7,7,accepted,"Jolt + Nectar"
"coffee","product",8,7,duplicate,"Jazzy Brew"
"coffee","product",9,8,accepted,"Jolt"
"coffee","product",10,9,accepted,"Roasted Awakening"
"coffee","product",11,10,accepted,"NestleBrew"
"coffee","product",12,11,accepted,"ToGoLoot"
"coffee","product",13,12,accepted,"Caffeinate Chic"
"coffee","product",14,12,duplicate,"Caffeine Bliss"
"coffee","product",15,13,accepted,"Mornings Brewed"
"coffee","product",16,14,accepted,"Caffeine Awakening"
"coffee","product",17,15,accepted,"Jovial Java"
"coffee","product",18,16,accepted,"Journey's Peak"
"coffee","product",19,17,accepted,"Caffeinate Dream"
"coffee","product",20,18,accepted,"Jazzy Blend"
"coffee","product",21,19,accepted,"Jovial Brew"
"coffee","product",22,20,accepted,"Sunny Brew"
"coffee","product",23,20,duplicate,"Jolt"
"coffee","product",24,21,accepted,"Caffeine Chronicles"
"coffee","product",25,22,accepted,"Dr. Mocha Brew"
"coffee","product",26,22,duplicate,"Jazzy Brew"
"coffee","product",27,23,accepted,"JoltRoast"
"coffee","product",28,23,duplicate,"Caffeinate Chic"
"coffee","product",29,24,accepted,"Caffeinate Bliss"
"coffee","product",30,25,accepted,"SipSway"
"coffee","product",31,26,accepted,"Mocha Mingle"
"coffee","product",32,26,duplicate,"Caffeinate Bliss"
"coffee","product",33,26,duplicate,"Caffeine Awakening"
"coffee","product",34,27,accepted,"Co啡"
"coffee","product",35,28,accepted,"Caffeinova"
"coffee","product",36,29,accepted,"Espresso Nectar"
"coffee","product",37,30,accepted,"Elevate Brew"
"coffee","product",38,31,accepted,"Nectar Noir"
"coffee","product",39,32,accepted,"Caffeinate Spark"
"coffee","product",40,33,accepted,"Harmony Brew"
